player_name,team_code,gameweek,match_id,llm_team_rotation,llm_player_rotation,llm_manager_sentiment,llm_strength,llm_source_type,llm_quote,llm_status,team_name
Raya,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Arrizabalaga,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Setford,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Saliba,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
J.Timber,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Lewis-Skelly,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
White,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Clarke,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Nichols,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Saka,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Ødegaard,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Madueke,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Martinelli,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Trossard,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Rice,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Merino,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Nørgaard,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Nwaneri,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Zubimendi,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
G.Jesus,3,2,25-26-prem-arsenal-vs-leeds-united,,1.0,,implied,journalist_prediction,Gabriel Jesus not expected to return from a knee injury in the near future.,ok,Arsenal
Gyökeres,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Harriman-Annous,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Hincapie,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Salmon,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Nelson,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Zinchenko,3,2,25-26-prem-arsenal-vs-leeds-united,,,,none,,,ok,Arsenal
Petrović,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Dennis,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
McKenna,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Senesi,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Smith,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Truffert,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Akinmboni,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Bevan,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Hill,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
J.Araujo,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Soler,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Kluivert,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
Semenyo,91,2,25-26-prem-afc-bournemouth-vs-wolverhampton-wanderers,,,,none,,,ok,Bournemouth
